Marca temporal,Dirección de correo electrónico,Nombre Completo ,Matrícula ,¿Qué carrera estudias? (SIGLAS),Semestre ,Estatus amoroso,Me gustaría que me emparejaran con...,Género,¿Con cuáles pronombres te identificas?,¿Qué edad tienes?,¿Saldrías con alguien MAYOR que tú? ,¿Saldrías con alguien MENOR que tú? ,¿Qué estas buscando?,Breve descripción sobre ti.,¿Qué tipo de película te gusta más?,¿Qué género musical es el que más te gusta escuchar?,¿Te gusta el anime?,¿Te gustan los videojuegos?,¿Te gusta bailar ?,¿Eres un fan de algún deporte?,¿Qué taco serías?,¿Con qué personaje de The Big Bang Theory te identificas más?,"Si pudieras convertirte en una de los siguientes animales, ¿Cuál serías?",Si solamente pudieras comer este sabor de helado por el resto de tu vida ¿Cuál escogerías?,Si pudieras eliminar una de las siguientes celebraciones ¿Cuál sería? ,¿Qué estación del año prefieres?,¿Te gusta la pizza con piña?,"¿Para ti, una cita ideal en que lugar sería?",¿Crees en la astrología y los Signos Zodiacales?,¿Cuál es tu signo del zodiaco? ,¿Te gusta cocinar?,¿Te gusta que te cocinen?,¿Te gustan más los perros o los gatos?,¿Generalmente prefieres la adaptación de la película o los libros?,¿Cuando ves una película la ves doblada o subtitulada?,¿Te gusta más el frio o el calor?,¿Con que tiburón de Shark Tank México te gustaría empezar un negocio?,De los siguientes superpoderes ¿Cuál te gustaría tener más?,¿Cuál de estas características es la que más buscas en una pareja?,¿Cuál de estas características es la que más te define?,Username de Instagram (Ej. @juanito_hdz),Número celular y/o Whatsapp,Username de Twitter (Ej. @juanito_hdz),Algún otro medio de contacto.,
81,mail82,Name82,mat82,LPS,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,No,Amistad,,Suspenso,"Pop, Reggaeton",Sí,No,Sí,No,Pescado,Ninguno,Pingüino,Cookies and cream,Spring Break,Otoño,Sí,Pista de patinaje sobre hielo ,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Volar,Respeto,Empátic@,insta82,tel82,twitter82,.,
82,mail83,Name83,mat83,LPS,8,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,Sí,Amistad,,Drama,Pop,No,No,"Sí, pero no sé bailar",No,Pastor,Ninguno,Tigre,Cookies and cream,San Valentín,Primavera,No,"Al aire libre, en la naturaleza ",Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Interesante,Confiable,insta83,tel83,twitter83,.,
83,mail84,Name84,mat84,LAET,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Soy bien cool ,Comedia,"Pop, Reggaeton",No,No,Sí,"Futbol, Basquetbol, Baseball, Futbol Americano, Ciclismo",Carnitas,Ninguno,Tigre,Vanilla,Día de la Independencia,Invierno,No,Ir a cenar comida italiana ,Sí,Aries,Sí,Sí,Perros,Película,Subtitulada,Frio,Rodrigo Herrera,Manipular el tiempo,Confianza,Confiable,insta84,tel84,twitter84,.,
84,mail85,Name85,mat85,LPS,8,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,,Romance,"Pop, Rock, Electrónica",Sí,No,"Sí, pero no sé bailar",No,Pescado,Ninguno,Ballena,Nuez,Año nuevo,Verano,Sí,"Me gustaría más que fuera en muchos lugares, me gustan las vueltas",No,Tauro,Sí,Sí,Perros,Película,Subtitulada,Calor,Patricia Armendáriz,Manipular el tiempo,Empatía,Alegre,insta85,tel85,twitter85,.,
85,mail86,Name86,mat86,LAET,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,,Comedia,"Pop, Reggaeton",No,Sí,"Sí, pero no sé bailar",No,Carnitas,Penny,Tigre,Caramelo,Día de la Independencia,Otoño,No,Picnic,No,Libra,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Confianza,Alegre,insta86,tel86,twitter86,.,
86,mail87,Name87,mat87,LAET,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,21,No,Sí,Amistad,,Comedia,"Reggaeton, Banda",No,Sí,No,Futbol,Pastor,Leonard,Tiburón,Cookies and cream,San Valentín,Verano,No,Restaurante,No,Piscis,No,Sí,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Telekinesis,Confianza,Divertido,insta87,tel87,twitter87,.,
87,mail88,Name88,mat88,LAF ,8,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Algo Casual,"Soy divertido, ingenioso y amable. ",Comedia,Rock,Sí,Sí,"Sí, pero no sé bailar",Otro,Barbacoa,Raj,Pingüino,Cookies and cream,Spring Break,Verano,Sí,Sería en cualquier lugar mientras la pasemos bien  ,Sí,Cáncer,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Teletransporte,Diversión,Respetuoso,insta88,tel88,twitter88,.,
88,mail89,Name89,mat89,LRI,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,"Me gusta hablar, salir a fiestas, planeas tranqui, planes improvisados y conocer gente. 
Me gusta mucho probar comidas diferentes o postres y me gusta mucho salir a cualquier lugar. 
Nunca rechazo algún plan, me gusta mucho pasar tiempo con las personas. ",Comedia,Pop,No,No,"Sí, pero no sé bailar",No,Pastor,Ninguno,Pingüino,Chocomenta,Spring Break,Verano,No,Cualquier lugar ,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Calor,Rodrigo Herrera,Manipular el tiempo,Diversión,Confiable,insta89,tel89,twitter89,.,
89,mail90,Name90,mat90,iid,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,23,Sí,Sí,Amistad,soy foránea y hago pedas caseras pero también te ayudo con algo de la escuela si lo necesitas 🥰,Drama,"Pop, Instrumental, Metal, Reggaeton, Cumbia, Electrónica, Banda",No,No,Sí,"Futbol, Basquetbol, Tennis, Futbol Americano, Ciclismo",Carne asada,Sheldon,Tigre,Chocolate,Spring Break,Otoño,No,donde sea mientras me la pase riendo ,No,Sagitario,Sí,Sí,Gatos,Libro,Subtitulada,Calor,Patricia Armendáriz,Manipular el tiempo,Interesante,Inteligente,insta90,tel90,twitter90,.,
90,mail91,Name91,mat91,INCQ,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,No,Amistad,"Apasionada por la ciencia, muy alegre, amo a mi perrita y escucho música todo el tiempo. ",Comedia,"Pop, Rock, Reggaeton, Cumbia",No,No,Sí,No,Guisos,Amy,Pingüino,Nuez,San Valentín,Primavera,Sí,Ir a comer a camarones,No,Cáncer,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Telekinesis,Confianza,Empátic@,insta91,tel91,twitter91,.,
91,mail92,Name92,mat92,IFI,7,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,22,Sí,Sí,Amistad,"Estudio IFI, me gusta conocer gente y me agrada cualquier tipo de persona que no sea prejuiciosa, sangrona o así. :-) Practico (practicaba) volley y basket, me gustan los videojuegos y juegos de mesa, el anime, programar, leer, aprender idiomas. Trabajo de freelancer, más que nada de traductor, aunque también enseño español y escribo guiones para contenidos educativos. Al graduarme quiero seguir con un posgrado en astrofísica.",Suspenso,Rock,Sí,Sí,"Sí, pero no sé bailar","Basquetbol, Otro",Pastor,Leonard,Lobo,Cookies and cream,Día de la Independencia,Otoño,No,"En algo que nos guste a los involucrados, de preferencia bueno, bonito y barato. Me da un poquito de hueva lo ""fancy"".",No,Libra,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Control Mental y manipulación,Confianza,Cariños@,insta92,tel92,twitter92,.,
92,mail93,Name93,mat93,INT,9,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,22,Sí,Sí,Amistad,Gamer y deportista,Comedia,"Pop, Reggaeton, Cumbia",Sí,Sí,Sí,Otro,Barbacoa,Howard,Lobo,Cookies and cream,Día de muertos,Invierno,Sí,En una feria o parque de diversiones,No,Piscis,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Teletransporte,Cariño,Cariños@,insta93,tel93,twitter93,.,
93,mail94,Name94,mat94,IFI,2,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,No,Amistad,"Me gusta la ciencia y astronomía, tocó la guitarra, violín, un poco de teclado y canto, me gusta correr carreras/maratones, creo en Dios mas no me gusta la religión, adoro modelar maquillaje, me gusta tomar fotos y me gustan las actividades extremas",Acción,"Pop, Instrumental, Rock, Reggaeton, Electrónica",No,No,Sí,No,Pastor,Ninguno,Tigre,Cookies and cream,Día de la Independencia,Otoño,No,Viendo las auroras boreales ,No,Virgo,No,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Fidelidad,Fiel,insta94,tel94,twitter94,.,
94,mail95,Name95,mat95,LDI,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,Sí,Amistad,"me gusta mucho platicar, salir con amigos y escuchar música ",Terror,"Pop, Reggaeton",No,Sí,Sí,Natación,Carne asada,Leonard,Lobo,Cookies and cream,Navidad,Invierno,No,un lugar al aire libre ,Sí,Capricornio,Sí,Sí,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Respeto,Responsable,insta95,tel95,twitter95,.,
95,mail96,Name96,mat96,BGB,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,"Soy extrovertida, amo conocer gente, me gusta bailar y cocinar, me gusta estar en todo y soy teclover 😅",Comedia,"Pop, Reggaeton, Cumbia",No,No,Sí,No,Pastor,Ninguno,Pingüino,Caramelo,San Valentín,Verano,Sí,"No clue, pero una primera cita estaría bien salir a cenar a algún restaurante de comida italiana",No,Acuario,Sí,Sí,Perros,Película,Subtitulada,Calor,Patricia Armendáriz,Manipular el tiempo,Diversión,Empátic@,insta96,tel96,twitter96,.,
96,mail97,Name97,mat97,ARQ,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,,Romance,"Pop, Reggaeton, Banda",Sí,Sí,Sí,Futbol,Carne asada,Ninguno,Tigre,Pistache,Día de la Independencia,Verano,No,vengo x amigos lmao,No,Libra,Sí,Sí,Gatos,Película,Subtitulada,Calor,Rodrigo Herrera,Manipular el tiempo,Confianza,Confiable,insta97,tel97,twitter97,.,
97,mail98,Name98,mat98,IFI,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,"Soy muy curiosa, me encanta cocinar, la música, el arte y conocer nuevos lugares :) Amo los conciertos/festivales y el bosque",Drama,"Pop, Rock",No,Sí,"Sí, pero no sé bailar",Tennis,Carne asada,Ninguno,Pingüino,Chocolate,San Valentín,Otoño,No,ir a un pueblito mágico,No,Escorpio,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Patricia Armendáriz,Teletransporte,Confianza,Confiable,insta98,tel98,twitter98,.,
